,transfer time,request number,byte count,completion status
2017-6-4 20:10,386,255,26732204,1
2017-6-4 20:20,384,256,28494980,1
2017-6-4 20:30,379,246,29757712,1
2017-6-4 20:40,397,256,34224424,1
2017-6-4 20:50,389,255,29164024,1
2017-6-4 21:00,394,262,28496296,1
2017-6-4 21:10,390,247,40060240,1
2017-6-4 21:20,386,263,22853212,1
2017-6-4 21:30,404,247,37566908,1
2017-6-4 21:40,408,239,29828288,1
2017-6-4 21:50,419,234,36559532,1
2017-6-4 22:00,421,239,29243724,1
2017-6-4 22:10,407,231,35177716,1
2017-6-4 22:20,404,238,32009760,1
2017-6-4 22:30,399,233,34822836,1
2017-6-4 22:40,397,228,37271692,1
2017-6-4 22:50,401,236,31474088,1
2017-6-4 23:00,402,229,32706916,1
2017-6-4 23:10,384,256,30903404,1
2017-6-4 23:20,422,223,30980012,1
2017-6-4 23:30,402,224,37164276,1
2017-6-4 23:40,380,238,34655776,1
2017-6-4 23:50,260336,120396,1.65483E+11,0
2017-6-5 0:00,421,222,37082108,1
2017-6-5 0:10,393,225,40516856,1
2017-6-5 0:20,388,257,22326080,1
2017-6-5 0:30,398,234,37566776,1
2017-6-5 0:40,396,233,35120456,1
2017-6-5 0:50,376,262,24222128,1
2017-6-5 1:00,388,255,36763596,1
2017-6-5 1:10,419,231,34312080,1
2017-6-5 1:20,370,279,25358528,1
2017-6-5 1:30,417,216,47754392,1
2017-6-5 1:40,426,228,35754356,1
2017-6-5 1:50,410,229,34433132,1
2017-6-5 2:00,407,229,33260604,1
2017-6-5 2:10,408,235,35979888,1
2017-6-5 2:20,401,227,33895316,1
2017-6-5 2:30,410,227,35159040,1
2017-6-5 2:40,415,221,44877224,1
2017-6-5 2:50,412,228,31311260,1
2017-6-5 3:00,38136,14976,21998187735,0
2017-6-5 3:10,1668,729,437255716,0
2017-6-5 3:20,1309,469,103666652,0
2017-6-5 3:30,1206,583,314002040,0
2017-6-5 3:40,1857,527,192463048,0
2017-6-5 3:50,1408,557,211020924,0
2017-6-5 4:00,1763,683,350877270,0
2017-6-5 4:10,3698,775,272076964,0
2017-6-5 4:20,1542,446,156800944,0
2017-6-5 4:30,2842,720,552762828,0
2017-6-5 4:40,2248,599,321925136,0
2017-6-5 4:50,2044,605,624284877,1
2017-6-5 5:00,3014,998,827470069,0
2017-6-5 5:10,1496,532,116807036,1
2017-6-5 5:20,1534,549,120712272,0
2017-6-5 5:30,1534,581,249425988,0
2017-6-5 5:40,1774,571,322703068,0
2017-6-5 5:50,1730,791,250788324,1
2017-6-5 6:00,1942,691,344991037,0
2017-6-5 6:10,1616,611,584032332,0
2017-6-5 6:20,1848,715,275364568,0
2017-6-5 6:30,1516,553,171330476,0
2017-6-5 6:40,1730,603,305384364,0
2017-6-5 6:50,1739,661,136592831,0
2017-6-5 7:00,1982,1051,229809757,0
2017-6-5 7:10,2034,794,450326480,0
2017-6-5 7:20,2237,672,748164959,0
